"movie_name","boxtot","year","month","ThreeD","Summer"
"The Hills Have Eyes 2",16.870822,2007,3,0,"Not Summer"
"The Hitcher (2007)",12.516,2007,1,0,"Not Summer"
"The Hobbit: An Unexpected Journey",289.93847,2012,1,1,"Not Summer"
"The Hobbit: The Battle of the Five Armies",246.770959,2014,1,1,"Not Summer"
"The Hobbit: The Desolation of Smaug",244.819845,2013,1,1,"Not Summer"
"The Holiday",59.738264,2006,1,0,"Not Summer"
"The Host (2013)",21.04546,2013,3,0,"Not Summer"
"The House Bunny",45.013166,2008,8,0,"Summer"
"The Hundred-Foot Journey",51.985629,2014,8,0,"Summer"
"The Hunger Games",399.200322,2012,3,0,"Not Summer"
"The Hunger Games: Catching Fire",409.392651,2013,1,0,"Not Summer"
"The Hunger Games: Mockingjay - Part 1",330.643639,2014,1,0,"Not Summer"
"The Hunger Games: Mockingjay - Part 2",275.47161,2015,1,0,"Not Summer"
"The Huntsman: Winter's War",47.130745,2016,4,1,"Summer"
"The Ides of March",37.414026,2011,10,0,"Not Summer"
"The Illusionist",34.868015,2006,9,0,"Not Summer"
"The Imitation Game",84.902885,2014,1,0,"Not Summer"
"The Incredible Burt Wonderstone",21.326572,2013,3,0,"Not Summer"
"The Incredible Hulk",130.868205,2008,6,0,"Summer"
"The Infiltrator",12.274291,2016,7,0,"Summer"
"The Informant!",30.81144,2009,9,0,"Not Summer"
"The Insanity of God",0.874789,2016,8,0,"Summer"
"The Intern",72.147742,2015,9,0,"Not Summer"
"The International",22.410616,2009,2,0,"Not Summer"
"The Internship",42.126409,2013,6,0,"Summer"
"The Invasion",12.094878,2007,8,0,"Summer"
"The Invention of Lying",16.117166,2009,10,0,"Not Summer"
"The Invisible",19.084613,2007,4,0,"Summer"
"The Iron Lady",18.148081,2012,1,0,"Not Summer"
"The Judge",43.32488,2014,10,0,"Not Summer"
"The Jungle Book (2016)",354.420651,2016,4,0,"Summer"
"The Karate Kid",170.612858,2010,6,0,"Summer"
"The Kids Are All Right",14.040182,2010,8,0,"Summer"
"The King's Speech",130.125199,2010,1,0,"Not Summer"
"The Kingdom",41.571065,2007,9,0,"Not Summer"
"The Lake House",50.036763,2006,6,0,"Summer"
"The Last Airbender",125.478277,2010,7,1,"Summer"
"The Last Exorcism",38.902021,2010,8,0,"Summer"
"The Last Exorcism Part II",12.882642,2013,3,0,"Not Summer"
"The Last House on the Left (2009)",29.41487,2009,3,0,"Not Summer"
"The Last Kiss (2006)",9.188774,2006,9,0,"Not Summer"
"The Last Mimzy",16.623,2007,3,0,"Not Summer"
"The Last Song",58.074662,2010,3,0,"Not Summer"
"The Last Stand",8.533945,2013,1,0,"Not Summer"
"The Last Witch Hunter",26.314853,2015,10,0,"Not Summer"
"The Lazarus Effect",21.139802,2015,2,0,"Not Summer"
"The Legend of Hercules",10.975651,2014,1,1,"Not Summer"
"The Legend of Tarzan",122.723843,2016,7,1,"Summer"
"The LEGO Movie",245.19872,2014,2,0,"Not Summer"
"The Light Between Oceans",10.400776,2016,9,0,"Not Summer"
"The Lincoln Lawyer",47.569661,2011,3,0,"Not Summer"
"The Lion King (in 3D)",91.3543,2011,9,0,"Not Summer"
"The Lobster (US Release)",1.056065,2016,5,0,"Summer"
"The Loft",3.753684,2015,1,0,"Not Summer"
"The Lone Ranger",76.911243,2013,7,0,"Summer"
"The Longest Ride",35.524625,2015,4,0,"Summer"
"The Longshots",4.080687,2008,8,0,"Summer"
"The Lord of the Rings: The Fellowship of the Ring (2011 re-release)",0.76858,2011,6,0,"Summer"
"The Lord of the Rings: The Return of the King (2011 re-release)",0.81858,2011,6,0,"Summer"
"The Lord of the Rings: The Two Towers (2011 re-release)",0.764607,2011,6,0,"Summer"
"The Losers",22.30211,2010,4,0,"Summer"
